Position;Compounds
B10;blind_01.1
C8;blind_01.2
E2;blind_01.3
D11;blind_10.1
G8;blind_10.2
D10;blind_11.1
G3;blind_11.2
D5;blind_12.1
E11;blind_12.2
G7;blind_13.1
G10;blind_13.2
B4;blind_14.1
G11;blind_14.2
B11;blind_2.1
E3;blind_2.2
C2;blind_3.1
E4;blind_3.2
C3;blind_4.1
E5;blind_4.2
C4;blind_5.1
E6;blind_5.2
C5;blind_6.1
E7;blind_6.2
C6;blind_7.1
E9;blind_7.2
D7;blind_8.1
F2;blind_8.2
D8;blind_9.1
F3;blind_9.2
B3;Cypro.1
C7;Cypro.2
F4;Cypro.3
B7;Desepoxytedanolide.1
C11;Desepoxytedanolide.2
G4;Desepoxytedanolide.3
B8;DMSO.1
D3;DMSO.2
F7;DMSO.3
G5;DMSO.4
B6;Isotedanolide.1
C10;Isotedanolide.2
F8;Isotedanolide.3
B9;MeOH.1
D4;MeOH.2
E8;MeOH.3
B2;SB203580.1
D6;SB203580.2
F10;SB203580.3
G2;SB203580.4
B5;ZJ166.1
F6;ZJ166.2
